,Unnamed: 0,seismic_no,seismic_time,seismic_lat,seismic_lon,seismic_Dep,Mpf,well_name,well_uwi,well_date,well_lat,well_lon,well_Dep,dist,dt,dDep,Lateraldist,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
17074,17074,5827,2017-06-24 20:35:00,54.425,-117.434,3.22,2.66,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-06-27 00:00:00,54.428243,-117.412948,3.5123599999999997,1.4391791413326982,2.1423611111111107,0.29235999999999995,1.4091707601448171,0.002356190104382498,0.0019030735695902414,0.49369081394021497,0.4675119329551858,0.4432574738769508,0.43490371159328045,0.0035782656424196615,0.00452842891669444,0.279251728441681,0.5808870502769562,0.05726884112632151,3.4800326223478514e-05,0.023935640816655616,0.04530276825593373,0.04099799381920519,0.036836213732268724,1
17075,17075,5830,2017-06-25 22:56:00,54.423,-117.424,3.4,3.28,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-06-27 00:00:00,54.428243,-117.412948,3.5123599999999997,0.9296131347087948,1.0444444444444445,0.11236000000000024,0.9227978167632996,0.0405039127531752,0.04483840078602253,0.3716299949381377,0.3645947585115017,0.35601834674019883,0.3527320059853432,0.05205377539100637,0.06637888247326602,0.11313905460508507,0.6917769942023251,0.009439705569513032,0.006944461850538761,0.39406225819599755,0.8006988203212695,0.773851080025552,0.7343925634323474,1
17080,17080,5827,2017-06-24 20:35:00,54.425,-117.434,3.22,2.66,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-06-30 00:00:00,54.428243,-117.412948,3.5123599999999997,1.4391791413326982,5.142361111111111,0.29235999999999995,1.4091707601448171,0.0018970546147106082,0.0015322339613471519,0.3974884857904837,0.37641091361655893,0.35688276372912275,0.3501568449414341,0.007033816263105459,0.00838731074524744,0.2248357546026792,0.4676933568746712,0.14282685893497532,2.8019012274472753e-05,0.03292334297938765,0.03647491151891058,0.03300898056737375,0.029658179583765213,1
17081,17081,5830,2017-06-25 22:56:00,54.423,-117.424,3.4,3.28,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-06-30 00:00:00,54.428243,-117.412948,3.5123599999999997,0.9296131347087948,4.044444444444443,0.11236000000000024,0.9227978167632996,0.034812902492445924,0.038538372428195744,0.31941404910406734,0.313367299960984,0.3059959186194117,0.3031713258213548,0.1092306261614256,0.13124382034652227,0.09724242939333257,0.5945787310090177,0.025131805344635303,0.005968728866728185,0.5786253511457707,0.6881964744375388,0.6651209811943816,0.6312065912679884,1
17082,17082,5832,2017-06-28 04:19:00,54.423,-117.425,3.97,2.47,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-06-30 00:00:00,54.428243,-117.412948,3.5123599999999997,1.075979778917995,1.8201388888888892,0.4576400000000001,0.9738059945597056,0.0005176467276014185,0.00056003761377224,0.3698722772786696,0.36097667387786075,0.35108912487330957,0.34740040940986283,0.0006185970675968095,0.0007781403154578802,0.09485558555436338,0.28383362723429423,0.04251389345720474,2.9566038528609423e-06,0.006423042591336528,0.011486898373063327,0.011033904054573005,0.010423365444385066,1
17083,17083,5833,2017-06-28 19:00:00,54.424,-117.43,6.38,3.05,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-06-30 00:00:00,54.428243,-117.412948,3.5123599999999997,3.108632366627393,1.2083333333333333,2.86764,1.2000983381554309,0.24367211869428146,0.24466366488873356,0.3234072439784195,0.3071264541483575,0.29280736323995776,0.28787386998118225,0.017472171269019388,0.022434059327082565,0.02050951647071631,0.08658936674248817,0.004405423296315439,0.00688805374551557,0.02108190344921116,0.043849001644246426,0.04107445783957883,0.03813790619949792,1
17090,17090,5827,2017-06-24 20:35:00,54.425,-117.434,3.22,2.66,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-01 00:00:00,54.428243,-117.412948,3.5123599999999997,1.4391791413326982,6.142361111111112,0.29235999999999995,1.4091707601448171,0.0016961886832081788,0.0013699963538797446,0.35540119197159936,0.3365553774580469,0.31909492767119924,0.3130811696890154,0.00846840574916479,0.009899629740967421,0.20102945881492817,0.41817255707394446,0.18615650090596925,2.505227375432291e-05,0.03519071091736863,0.0326128365834284,0.029513888977392,0.026517881026958446,1
17091,17091,5830,2017-06-25 22:56:00,54.423,-117.424,3.4,3.28,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-01 00:00:00,54.428243,-117.412948,3.5123599999999997,0.9296131347087948,5.044444444444443,0.11236000000000024,0.9227978167632996,0.03181211011580509,0.035216453084763545,0.29188129041635225,0.2863557571855578,0.27961977201469834,0.2770386526396738,0.13440424270054258,0.15831898534688438,0.08886035493479331,0.543327407632238,0.03347726154618034,0.0054542381233780544,0.6320908267734191,0.6288755162217915,0.6077890775892436,0.5767980303163861,1
17092,17092,5832,2017-06-28 04:19:00,54.423,-117.425,3.97,2.47,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-01 00:00:00,54.428243,-117.412948,3.5123599999999997,1.075979778917995,2.8201388888888888,0.4576400000000001,0.9738059945597056,0.0004943639803122084,0.000534848206520831,0.3532361385725156,0.34474064218469946,0.33529781598531183,0.3317750117995335,0.0007954951127962329,0.0009810093684998026,0.09058916502145348,0.2710673403774316,0.05918589534112686,2.8236215375675854e-06,0.0073330380103232866,0.010970239930738927,0.010537620419387305,0.009954542653465064,1
17093,17093,5833,2017-06-28 19:00:00,54.424,-117.43,6.38,3.05,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-01 00:00:00,54.428243,-117.412948,3.5123599999999997,3.108632366627393,2.208333333333333,2.86764,1.2000983381554309,0.23555348679579693,0.23651199679962442,0.3126320088746515,0.29689366001139006,0.28305165047294417,0.27828253061871033,0.02274295476565019,0.028628161113535045,0.019826183410151608,0.08370439492596649,0.006207908920668168,0.006658558581454638,0.024362581490684997,0.04238804704109663,0.03970594507982507,0.0368672330364303,1
