time,number of fractures
2018-02-15,13
2018-02-16,14
2018-02-17,22
2018-02-18,17
2018-02-19,9
2018-02-20,30
2018-02-21,20
2018-02-22,13
2018-02-23,15
2018-02-24,13
2018-02-25,36
2018-02-26,36
2018-02-27,25
2018-02-28,14
2018-03-01,18
2018-03-02,3
2018-03-03,5
2018-03-04,6
2018-03-05,3
2018-03-06,3
2018-03-07,15
2018-03-08,26
2018-03-09,25
2018-03-10,29
2018-03-11,16
2018-03-12,3
2018-03-13,10
2018-03-14,14
2018-03-15,13
2018-03-16,14
2018-03-17,17
2018-03-18,4
2018-03-19,18
2018-03-20,34
2018-03-21,4
2018-03-22,4
2018-03-23,3
2018-03-24,3
2018-03-25,15
2018-03-26,4
2018-03-27,9
2018-03-28,17
2018-03-29,23
2018-03-30,20
2018-03-31,25
2018-04-01,13
2018-04-02,4
2018-04-03,4
2018-04-04,3
2018-04-05,4
2018-04-06,3
2018-04-07,2
2018-04-17,2
2018-04-20,1
2018-04-23,5
2018-04-24,6
2018-04-25,6
2018-04-26,7
2018-04-27,8
2018-04-28,12
2018-04-29,15
2018-04-30,15
2018-05-01,15
2018-05-02,15
2018-05-03,15
2018-05-04,19
2018-05-05,23
2018-05-06,25
2018-05-07,27
2018-05-08,26
2018-05-09,14
2018-05-10,21
2018-05-11,16
2018-05-12,19
2018-05-13,21
2018-05-14,19
2018-05-15,12
2018-05-16,16
2018-05-17,20
2018-05-18,21
2018-05-19,20
2018-05-20,15
2018-05-21,14
2018-05-22,11
2018-05-23,15
2018-05-24,15
2018-05-25,13
2018-06-03,7
2018-06-04,12
2018-06-05,10
2018-06-06,14
2018-06-07,12
2018-06-08,16
2018-06-09,17
2018-06-10,15
2018-06-11,14
2018-06-12,16
2018-06-13,12
2018-06-14,16
2018-06-15,17
2018-06-16,19
2018-06-17,12
2018-06-18,9
2018-06-19,13
2018-06-20,20
2018-06-21,24
2018-06-22,25
2018-06-23,29
2018-06-24,27
2018-06-25,26
2018-06-26,28
2018-06-27,19
2018-06-28,19
2018-06-29,16
2018-06-30,18
2018-07-01,21
2018-07-02,19
2018-07-03,16
2018-07-04,16
2018-07-05,18
2018-07-06,16
2018-07-07,15
2018-07-08,12
2018-07-09,12
2018-07-10,14
2018-07-11,13
2018-07-12,13
2018-07-13,14
2018-07-14,12
2018-07-15,13
2018-07-16,18
2018-07-17,16
2018-07-18,19
2018-07-19,16
2018-07-20,15
2018-07-21,9
2018-07-22,18
2018-07-23,9
2018-07-24,18
2018-07-25,14
2018-07-26,13
2018-07-27,9
2018-07-28,5
2018-07-29,10
2018-07-30,8
2018-07-31,4
2018-08-01,6
2018-08-02,14
2018-08-03,17
2018-08-04,18
2018-08-05,19
2018-08-06,22
2018-08-07,20
2018-08-08,20
2018-08-09,20
2018-08-10,22
2018-08-11,20
2018-08-12,23
2018-08-13,22
2018-08-14,25
2018-08-15,24
2018-08-16,25
2018-08-17,29
2018-08-18,50
2018-08-19,78
2018-08-20,23
2018-08-21,30
2018-08-22,31
2018-08-23,23
2018-08-24,27
2018-08-25,26
2018-08-26,25
2018-08-27,29
2018-08-28,32
2018-08-29,26
2018-08-30,29
2018-08-31,20
2018-09-01,19
2018-09-02,22
2018-09-03,36
2018-09-04,37
2018-09-05,23
2018-09-06,36
2018-09-07,32
2018-09-08,14
2018-09-09,19
2018-09-10,23
2018-09-11,19
2018-09-12,9
2018-09-13,8
2018-09-14,10
2018-09-15,11
2018-09-16,11
2018-09-17,8
2018-09-18,11
2018-09-19,10
2018-09-20,9
2018-09-21,9
2018-09-22,8
2018-09-23,6
2018-09-24,8
2018-09-25,10
2018-09-26,7
2018-09-27,5
2018-09-28,4
2018-09-29,9
2018-09-30,8
2018-10-01,9
2018-10-02,16
2018-10-03,14
2018-10-04,35
2018-10-05,34
2018-10-06,21
2018-10-07,17
2018-10-08,19
2018-10-09,18
2018-10-10,18
2018-10-11,24
2018-10-12,29
2018-10-13,36
2018-10-14,29
2018-10-15,25
2018-10-16,17
2018-10-17,4
2018-10-18,5
2018-10-19,6
